;Akeywords_lemma;Akeywords_pos
60019089;[('cell', 157), ('acid', 140), ('analysis', 129), ('dog', 119), ('food', 117), ('compound', 106), ('disease', 85), ('system', 84), ('activity', 81), ('quality', 79), ('antioxidant', 79), ('italy', 78), ('model', 74), ('receptor', 73), ('olive', 71), ('dna', 67), ('volatile', 67), ('sheep', 64), ('gene', 62), ('organic', 61), ('oil', 61), ('fatty', 59), ('horse', 57), ('cat', 54), ('milk', 53), ('biology', 51), ('diagnosis', 48), ('stress', 47), ('endocannabinoids', 47), ('environment', 47)];[(('analysis', 'NN'), 127), (('food', 'NN'), 102), (('cells', 'NNS'), 94), (('compounds', 'NNS'), 80), (('quality', 'NN'), 78), (('dog', 'NN'), 77), (('activity', 'NN'), 75), (('system', 'NN'), 74), (('volatile', 'JJ'), 67), (('dna', 'NN'), 64), (('organic', 'JJ'), 58), (('fatty', 'JJ'), 57), (('acid', 'NN'), 57), (('olive', 'JJ'), 55), (('oil', 'NN'), 53), (('antioxidant', 'JJ'), 52), (('gene', 'NN'), 50), (('horse', 'NN'), 49), (('cell', 'NN'), 44), (('endocannabinoids', 'NNS'), 44), (('growth', 'NN'), 44), (('acids', 'NNS'), 43), (('disease', 'NN'), 42), (('stress', 'NN'), 42), (('model', 'NN'), 42), (('meat', 'NN'), 41), (('italy', 'NN'), 40), (('receptor', 'NN'), 40), (('methylation', 'NN'), 40), (('diagnosis', 'NN'), 39)]
60020167;[('analysis', 396), ('model', 350), ('system', 298), ('network', 242), ('method', 222), ('soil', 201), ('problem', 197), ('solution', 162), ('energy', 157), ('wave', 146), ('equation', 136), ('acid', 135), ('olive', 132), ('water', 130), ('forest', 119), ('antioxidant', 113), ('cell', 113), ('point', 111), ('oil', 110), ('management', 108), ('quality', 108), ('critical', 108), ('sustainability', 106), ('control', 106), ('theory', 100), ('data', 99), ('city', 96), ('social', 95), ('nonlinear', 91), ('function', 90)];[(('analysis', 'NN'), 369), (('soil', 'NN'), 170), (('model', 'NN'), 165), (('systems', 'NNS'), 165), (('energy', 'NN'), 157), (('solutions', 'NNS'), 136), (('system', 'NN'), 133), (('problem', 'NN'), 116), (('methods', 'NNS'), 113), (('network', 'NN'), 112), (('critical', 'JJ'), 108), (('olive', 'JJ'), 107), (('management', 'NN'), 106), (('quality', 'NN'), 105), (('control', 'NN'), 98), (('water', 'NN'), 97), (('method', 'NN'), 97), (('oil', 'NN'), 97), (('networks', 'NNS'), 95), (('social', 'JJ'), 94), (('models', 'NNS'), 93), (('equations', 'NNS'), 91), (('data', 'NNS'), 90), (('theory', 'NN'), 87), (('activity', 'NN'), 84), (('life', 'NN'), 83), (('variational', 'JJ'), 83), (('cycle', 'NN'), 81), (('problems', 'NNS'), 81), (('carbon', 'NN'), 80)]
60020261;[('model', 1184), ('membrane', 1010), ('analysis', 919), ('system', 754), ('method', 530), ('cell', 504), ('network', 440), ('data', 399), ('structure', 397), ('activity', 384), ('acid', 355), ('simulation', 347), ('scatter', 346), ('water', 343), ('energy', 338), ('cancer', 338), ('process', 332), ('program', 326), ('sun', 313), ('dynamic', 302), ('optimization', 295), ('problem', 285), ('antioxidant', 283), ('property', 281), ('theory', 280), ('control', 280), ('surface', 273), ('italy', 267), ('complex', 261), ('management', 257)];[(('analysis', 'NN'), 882), (('membrane', 'NN'), 660), (('model', 'NN'), 453), (('systems', 'NNS'), 417), (('data', 'NNS'), 383), (('activity', 'NN'), 363), (('system', 'NN'), 337), (('scattering', 'VBG'), 331), (('energy', 'NN'), 327), (('water', 'NN'), 295), (('optimization', 'NN'), 286), (('simulation', 'NN'), 282), (('cancer', 'NN'), 279), (('models', 'NNS'), 273), (('properties', 'NNS'), 254), (('management', 'NN'), 253), (('membranes', 'NNS'), 253), (('methods', 'NNS'), 253), (('control', 'NN'), 243), (('method', 'NN'), 241), (('networks', 'NNS'), 228), (('design', 'NN'), 227), (('hadronhadron', 'NN'), 218), (('antioxidant', 'JJ'), 213), (('theory', 'NN'), 210), (('hydrogen', 'NN'), 209), (('programming', 'VBG'), 198), (('transport', 'NN'), 197), (('human', 'JJ'), 196), (('cells', 'NNS'), 192)]
60020919;[('physic', 622), ('scatter', 580), ('hadronhadron', 552), ('analysis', 455), ('model', 455), ('experiment', 404), ('system', 318), ('water', 282), ('soil', 275), ('italy', 232), ('method', 217), ('cm', 200), ('activity', 199), ('southern', 186), ('polynomial', 181), ('structure', 173), ('acid', 172), ('production', 167), ('management', 163), ('seismic', 160), ('stress', 157), ('energy', 149), ('cell', 146), ('space', 145), ('dynamic', 140), ('equation', 131), ('plant', 127), ('test', 127), ('particle', 123), ('flow', 121)];[(('physics', 'NNS'), 621), (('scattering', 'VBG'), 565), (('analysis', 'NN'), 422), (('hadronhadron', 'NN'), 392), (('experiments', 'NNS'), 359), (('model', 'NN'), 259), (('water', 'NN'), 227), (('soil', 'NN'), 222), (('southern', 'JJ'), 184), (('activity', 'NN'), 183), (('cms', 'NN'), 169), (('production', 'NN'), 166), (('management', 'NN'), 161), (('systems', 'NNS'), 160), (('hadronhadron', 'VBP'), 160), (('system', 'NN'), 158), (('seismic', 'JJ'), 154), (('energy', 'NN'), 147), (('stress', 'NN'), 140), (('italy', 'NN'), 118), (('quality', 'NN'), 115), (('polynomials', 'NNS'), 114), (('plant', 'NN'), 104), (('carbon', 'NN'), 103), (('heat', 'NN'), 101), (('simulation', 'NN'), 100), (('performance', 'NN'), 99), (('method', 'NN'), 99), (('control', 'NN'), 96), (('organic', 'JJ'), 96)]
60021859;[('model', 2263), ('analysis', 2057), ('cell', 2008), ('disease', 1807), ('system', 1713), ('cancer', 1620), ('carbon', 1510), ('structure', 1169), ('anhydrase', 1111), ('acid', 1067), ('method', 1033), ('protein', 1008), ('inhibitor', 945), ('image', 932), ('italy', 893), ('receptor', 889), ('galaxy', 875), ('control', 853), ('magnetism', 769), ('network', 766), ('dynamic', 765), ('test', 761), ('factor', 757), ('molecule', 750), ('syndrome', 746), ('therapy', 728), ('scatter', 723), ('heart', 722), ('function', 715), ('activity', 708)];[(('analysis', 'NN'), 1957), (('cancer', 'NN'), 1450), (('carbonic', 'JJ'), 1154), (('anhydrase', 'NN'), 1098), (('disease', 'NN'), 1065), (('model', 'NN'), 951), (('cells', 'NNS'), 910), (('systems', 'NNS'), 902), (('system', 'NN'), 811), (('cell', 'NN'), 801), (('galaxies', 'NNS'), 793), (('control', 'NN'), 728), (('magnetic', 'JJ'), 720), (('methods', 'NNS'), 677), (('scattering', 'VBG'), 673), (('therapy', 'NN'), 668), (('structure', 'NN'), 663), (('physics', 'NNS'), 662), (('activity', 'NN'), 654), (('risk', 'NN'), 614), (('quality', 'NN'), 613), (('human', 'JJ'), 593), (('acid', 'NN'), 591), (('data', 'NNS'), 578), (('energy', 'NN'), 570), (('protein', 'NN'), 562), (('molecular', 'JJ'), 558), (('social', 'JJ'), 556), (('models', 'NNS'), 554), (('inhibitors', 'NNS'), 546)]
60022778;[('disease', 1435), ('analysis', 1269), ('cell', 1259), ('model', 876), ('acid', 833), ('cancer', 823), ('system', 809), ('physic', 733), ('scatter', 639), ('method', 604), ('syndrome', 602), ('protein', 599), ('hadronhadron', 559), ('therapy', 537), ('italy', 536), ('multiple', 536), ('experiment', 519), ('gene', 518), ('factor', 507), ('receptor', 502), ('activity', 471), ('quality', 464), ('disorder', 460), ('equation', 453), ('molecule', 448), ('kidney', 436), ('risk', 419), ('treatment', 416), ('surgery', 408), ('test', 403)];[(('analysis', 'NN'), 1195), (('disease', 'NN'), 826), (('cancer', 'NN'), 747), (('physics', 'NNS'), 732), (('scattering', 'VBG'), 617), (('cell', 'NN'), 574), (('cells', 'NNS'), 547), (('multiple', 'JJ'), 501), (('therapy', 'NN'), 490), (('acid', 'NN'), 455), (('model', 'NN'), 440), (('system', 'NN'), 432), (('quality', 'NN'), 414), (('activity', 'NN'), 413), (('gene', 'NN'), 404), (('hadronhadron', 'NN'), 398), (('methods', 'NNS'), 397), (('molecular', 'JJ'), 388), (('treatment', 'NN'), 381), (('experiments', 'NNS'), 380), (('risk', 'NN'), 379), (('sclerosis', 'NN'), 377), (('systems', 'NNS'), 377), (('human', 'JJ'), 374), (('growth', 'NN'), 367), (('protein', 'NN'), 355), (('mitochondrial', 'JJ'), 348), (('health', 'NN'), 343), (('chronic', 'JJ'), 339), (('water', 'NN'), 332)]
60022956;[('disease', 438), ('cell', 380), ('cancer', 294), ('analysis', 291), ('heart', 282), ('food', 233), ('syndrome', 215), ('acid', 210), ('stress', 204), ('lung', 195), ('quality', 195), ('model', 181), ('atrium', 176), ('kidney', 167), ('system', 166), ('image', 165), ('factor', 164), ('oral', 159), ('therapy', 156), ('risk', 155), ('protein', 154), ('life', 152), ('surgery', 152), ('failure', 146), ('disorder', 145), ('health', 144), ('carcinoma', 142), ('chronic', 142), ('covid', 141), ('activity', 138)];[(('cancer', 'NN'), 284), (('analysis', 'NN'), 277), (('disease', 'NN'), 269), (('food', 'NN'), 219), (('cell', 'NN'), 194), (('stress', 'NN'), 189), (('quality', 'NN'), 184), (('heart', 'NN'), 176), (('atrial', 'JJ'), 170), (('oral', 'JJ'), 158), (('life', 'NN'), 152), (('cells', 'NNS'), 152), (('failure', 'NN'), 146), (('health', 'NN'), 144), (('syndrome', 'NN'), 139), (('chronic', 'JJ'), 137), (('fibrillation', 'NN'), 135), (('risk', 'NN'), 134), (('therapy', 'NN'), 134), (('carcinoma', 'NN'), 132), (('activity', 'NN'), 132), (('system', 'NN'), 131), (('ablation', 'NN'), 121), (('coronary', 'JJ'), 120), (('surgery', 'NN'), 113), (('treatment', 'NN'), 113), (('imaging', 'VBG'), 107), (('tomography', 'NN'), 106), (('acid', 'NN'), 105), (('management', 'NN'), 104)]
60023256;[('model', 4684), ('system', 3028), ('analysis', 2885), ('control', 1940), ('dynamic', 1603), ('network', 1579), ('method', 1443), ('design', 1441), ('energy', 1373), ('process', 1170), ('structure', 1022), ('test', 1009), ('equation', 1005), ('simulation', 997), ('optimization', 996), ('element', 964), ('management', 956), ('data', 941), ('finite', 900), ('spectroscopy', 763), ('power', 751), ('flow', 751), ('image', 731), ('nonlinear', 726), ('city', 716), ('learn', 704), ('performance', 690), ('material', 656), ('optics', 647), ('measurement', 645)];[(('analysis', 'NN'), 2752), (('model', 'NN'), 1958), (('systems', 'NNS'), 1824), (('control', 'NN'), 1823), (('design', 'NN'), 1379), (('energy', 'NN'), 1367), (('system', 'NN'), 1204), (('optimization', 'NN'), 955), (('management', 'NN'), 948), (('data', 'NNS'), 909), (('dynamics', 'NNS'), 899), (('models', 'NNS'), 839), (('finite', 'JJ'), 807), (('simulation', 'NN'), 800), (('method', 'NN'), 781), (('network', 'NN'), 771), (('modeling', 'VBG'), 762), (('power', 'NN'), 730), (('networks', 'NNS'), 724), (('dynamic', 'JJ'), 685), (('performance', 'NN'), 672), (('optical', 'JJ'), 647), (('spectroscopy', 'NN'), 605), (('methods', 'NNS'), 581), (('process', 'NN'), 581), (('equations', 'NNS'), 554), (('element', 'NN'), 549), (('urban', 'JJ'), 522), (('nonlinear', 'JJ'), 500), (('learning', 'VBG'), 489)]
60024316;[('policy', 281), ('european', 281), ('social', 200), ('political', 187), ('market', 176), ('economy', 144), ('model', 140), ('right', 139), ('union', 135), ('party', 132), ('migration', 131), ('finance', 117), ('law', 115), ('eu', 114), ('analysis', 112), ('network', 111), ('europe', 109), ('trade', 105), ('integration', 101), ('public', 99), ('international', 99), ('crisis', 98), ('governance', 97), ('education', 94), ('politics', 91), ('system', 90), ('regulation', 89), ('state', 87), ('election', 77), ('italy', 77)];[(('european', 'JJ'), 275), (('policy', 'NN'), 249), (('social', 'JJ'), 200), (('political', 'JJ'), 187), (('union', 'NN'), 127), (('migration', 'NN'), 122), (('law', 'NN'), 114), (('analysis', 'NN'), 111), (('rights', 'NNS'), 107), (('market', 'NN'), 105), (('economic', 'JJ'), 104), (('integration', 'NN'), 100), (('international', 'JJ'), 99), (('governance', 'NN'), 95), (('politics', 'NNS'), 91), (('public', 'JJ'), 90), (('crisis', 'NN'), 87), (('regulation', 'NN'), 83), (('trade', 'NN'), 82), (('financial', 'JJ'), 74), (('europe', 'NN'), 74), (('party', 'NN'), 72), (('democracy', 'NN'), 71), (('markets', 'NNS'), 68), (('data', 'NNS'), 66), (('energy', 'NN'), 66), (('state', 'NN'), 64), (('history', 'NN'), 63), (('networks', 'NNS'), 62), (('human', 'JJ'), 62)]
60024353;[('model', 728), ('analysis', 641), ('system', 537), ('cell', 380), ('method', 327), ('sea', 327), ('structure', 318), ('theory', 316), ('scatter', 311), ('mediterranean', 283), ('sensor', 276), ('process', 270), ('network', 264), ('energy', 262), ('space', 255), ('spectroscopy', 254), ('hadronhadron', 253), ('experiment', 249), ('management', 244), ('laser', 234), ('function', 230), ('operator', 230), ('property', 223), ('water', 212), ('test', 200), ('dynamic', 199), ('detector', 195), ('material', 192), ('data', 188), ('measurement', 186)];[(('analysis', 'NN'), 575), (('model', 'NN'), 336), (('sea', 'NN'), 312), (('scattering', 'VBG'), 307), (('systems', 'NNS'), 297), (('energy', 'NN'), 258), (('management', 'NN'), 240), (('theory', 'NN'), 240), (('system', 'NN'), 240), (('hadronhadron', 'NN'), 232), (('properties', 'NNS'), 204), (('spectroscopy', 'NN'), 192), (('data', 'NNS'), 183), (('experiments', 'NNS'), 179), (('cells', 'NNS'), 177), (('series', 'NN'), 174), (('detection', 'NN'), 165), (('control', 'NN'), 164), (('models', 'NNS'), 163), (('species', 'NNS'), 161), (('water', 'NN'), 158), (('method', 'NN'), 158), (('physics', 'NNS'), 153), (('social', 'JJ'), 151), (('materials', 'NNS'), 150), (('optical', 'JJ'), 150), (('mediterranean', 'JJ'), 150), (('cell', 'NN'), 150), (('methods', 'NNS'), 144), (('performance', 'NN'), 143)]
60024690;[('cell', 1087), ('analysis', 917), ('receptor', 844), ('disease', 778), ('model', 771), ('system', 564), ('cancer', 549), ('acid', 537), ('method', 533), ('factor', 462), ('activity', 427), ('test', 427), ('galaxy', 427), ('human', 401), ('structure', 397), ('physic', 365), ('general', 330), ('gene', 329), ('water', 328), ('italy', 319), ('therapy', 313), ('surgery', 312), ('syndrome', 299), ('energy', 296), ('complex', 291), ('chronic', 290), ('scatter', 288), ('equation', 280), ('stress', 277), ('xray', 275)];[(('analysis', 'NN'), 877), (('disease', 'NN'), 538), (('receptor', 'NN'), 527), (('cells', 'NNS'), 502), (('cancer', 'NN'), 467), (('cell', 'NN'), 443), (('activity', 'NN'), 408), (('human', 'JJ'), 376), (('physics', 'NNS'), 365), (('methods', 'NNS'), 362), (('galaxies', 'NNS'), 345), (('general', 'JJ'), 317), (('model', 'NN'), 300), (('receptors', 'NNS'), 299), (('gene', 'NN'), 298), (('energy', 'NN'), 289), (('system', 'NN'), 288), (('therapy', 'NN'), 286), (('acid', 'NN'), 280), (('systems', 'NNS'), 276), (('factor', 'NN'), 276), (('structure', 'NN'), 270), (('chronic', 'JJ'), 270), (('water', 'NN'), 268), (('scattering', 'VBG'), 265), (('stress', 'NN'), 250), (('test', 'NN'), 234), (('bone', 'NN'), 231), (('radiation', 'NN'), 230), (('magnetic', 'JJ'), 225)]
60025153;[('cell', 2045), ('model', 1834), ('disease', 1699), ('analysis', 1481), ('system', 1403), ('cancer', 1131), ('scatter', 1007), ('image', 891), ('receptor', 831), ('physic', 830), ('experiment', 768), ('hadronhadron', 761), ('control', 743), ('structure', 691), ('network', 673), ('syndrome', 667), ('method', 663), ('energy', 630), ('test', 591), ('therapy', 588), ('magnetism', 586), ('sea', 574), ('protein', 573), ('sclerosis', 571), ('acid', 560), ('surgery', 558), ('factor', 538), ('theory', 531), ('process', 529), ('human', 529)];[(('analysis', 'NN'), 1408), (('cancer', 'NN'), 1073), (('scattering', 'VBG'), 964), (('disease', 'NN'), 958), (('cells', 'NNS'), 958), (('cell', 'NN'), 835), (('physics', 'NNS'), 829), (('model', 'NN'), 817), (('systems', 'NNS'), 718), (('system', 'NN'), 685), (('control', 'NN'), 653), (('energy', 'NN'), 627), (('hadronhadron', 'NN'), 579), (('magnetic', 'JJ'), 572), (('sclerosis', 'NN'), 569), (('experiments', 'NNS'), 552), (('sea', 'NN'), 547), (('therapy', 'NN'), 543), (('human', 'JJ'), 506), (('imaging', 'VBG'), 480), (('activity', 'NN'), 462), (('multiple', 'JJ'), 454), (('surgery', 'NN'), 421), (('risk', 'NN'), 421), (('receptor', 'NN'), 417), (('disease', 'VBP'), 414), (('treatment', 'NN'), 411), (('receptors', 'NNS'), 409), (('structure', 'NN'), 398), (('data', 'NNS'), 398)]
60025965;[('model', 748), ('analysis', 649), ('system', 546), ('cell', 491), ('cancer', 446), ('method', 370), ('group', 368), ('disease', 332), ('control', 308), ('acid', 301), ('scatter', 298), ('structure', 293), ('galaxy', 291), ('ray', 285), ('nurse', 268), ('image', 267), ('breast', 257), ('hadronhadron', 254), ('gamma', 248), ('equation', 239), ('factor', 234), ('energy', 223), ('experiment', 221), ('protein', 219), ('study', 216), ('theory', 211), ('problem', 207), ('dynamic', 204), ('network', 204), ('stress', 199)];[(('analysis', 'NN'), 629), (('cancer', 'NN'), 428), (('model', 'NN'), 344), (('systems', 'NNS'), 328), (('group', 'NN'), 305), (('scattering', 'VBG'), 291), (('control', 'NN'), 286), (('galaxies', 'NNS'), 270), (('cell', 'NN'), 266), (('breast', 'NN'), 236), (('hadronhadron', 'NN'), 233), (('energy', 'NN'), 222), (('disease', 'NN'), 221), (('system', 'NN'), 218), (('methods', 'NNS'), 202), (('quality', 'NN'), 187), (('magnetic', 'JJ'), 185), (('stress', 'NN'), 179), (('care', 'NN'), 173), (('general', 'JJ'), 172), (('management', 'NN'), 168), (('food', 'NN'), 167), (('individual', 'JJ'), 167), (('cells', 'NNS'), 166), (('data', 'NNS'), 165), (('models', 'NNS'), 164), (('transplantation', 'NN'), 162), (('rays', 'NNS'), 161), (('oil', 'NN'), 160), (('experiments', 'NNS'), 159)]
60026298;[('receptor', 463), ('model', 307), ('analysis', 284), ('structure', 284), ('activity', 269), ('acid', 267), ('cell', 264), ('system', 258), ('oil', 235), ('rat', 222), ('essential', 201), ('protein', 201), ('complex', 191), ('italy', 163), ('stress', 163), ('control', 160), ('spectroscopy', 159), ('xray', 152), ('cancer', 152), ('dna', 142), ('interaction', 140), ('antioxidant', 138), ('disease', 133), ('method', 132), ('food', 132), ('adenosine', 128), ('antagonist', 120), ('molecule', 118), ('composite', 116), ('quantum', 116)];[(('receptor', 'NN'), 277), (('analysis', 'NN'), 269), (('activity', 'NN'), 249), (('essential', 'JJ'), 200), (('oil', 'NN'), 192), (('receptors', 'NNS'), 181), (('structure', 'NN'), 161), (('stress', 'NN'), 153), (('systems', 'NNS'), 144), (('control', 'NN'), 135), (('complexes', 'NNS'), 128), (('model', 'NN'), 125), (('acid', 'NN'), 124), (('food', 'NN'), 121), (('cell', 'NN'), 119), (('rat', 'NN'), 118), (('cells', 'NNS'), 116), (('protein', 'NN'), 115), (('central', 'JJ'), 114), (('dna', 'NN'), 114), (('spectroscopy', 'NN'), 114), (('system', 'NN'), 114), (('species', 'NNS'), 111), (('antioxidant', 'JJ'), 107), (('interaction', 'NN'), 98), (('cancer', 'NN'), 98), (('molecular', 'JJ'), 97), (('functional', 'JJ'), 89), (('gene', 'NN'), 88), (('human', 'JJ'), 86)]
60026777;[('disease', 1329), ('cancer', 1117), ('cell', 1045), ('analysis', 1021), ('model', 701), ('heart', 694), ('system', 651), ('disorder', 620), ('surgery', 584), ('therapy', 564), ('syndrome', 551), ('protein', 486), ('acid', 471), ('lung', 457), ('image', 454), ('factor', 439), ('covid', 419), ('kidney', 398), ('chronic', 384), ('cognition', 378), ('activity', 377), ('diabetes', 371), ('treatment', 367), ('receptor', 361), ('function', 355), ('sclerosis', 348), ('child', 346), ('infection', 341), ('test', 337), ('stress', 332)];[(('cancer', 'NN'), 1040), (('analysis', 'NN'), 980), (('disease', 'NN'), 892), (('therapy', 'NN'), 528), (('cell', 'NN'), 471), (('cells', 'NNS'), 469), (('surgery', 'NN'), 433), (('system', 'NN'), 420), (('heart', 'NN'), 418), (('disorders', 'NNS'), 372), (('chronic', 'JJ'), 360), (('activity', 'NN'), 351), (('model', 'NN'), 349), (('sclerosis', 'NN'), 347), (('treatment', 'NN'), 342), (('stress', 'NN'), 312), (('magnetic', 'JJ'), 305), (('imaging', 'VBG'), 304), (('children', 'NNS'), 301), (('resonance', 'NN'), 298), (('risk', 'NN'), 297), (('syndrome', 'NN'), 296), (('protein', 'NN'), 293), (('multiple', 'JJ'), 278), (('cognitive', 'JJ'), 269), (('failure', 'NN'), 268), (('energy', 'NN'), 267), (('quality', 'NN'), 263), (('acid', 'NN'), 263), (('breast', 'NN'), 257)]
60027141;[('education', 142), ('italy', 132), ('age', 125), ('model', 104), ('forensic', 97), ('history', 93), ('analysis', 90), ('century', 86), ('policy', 78), ('social', 73), ('economy', 67), ('science', 65), ('finance', 63), ('estimation', 63), ('dynamic', 60), ('system', 57), ('city', 56), ('school', 51), ('sustainability', 50), ('management', 46), ('industry', 45), ('europe', 41), ('structure', 41), ('growth', 41), ('culture', 40), ('risk', 38), ('public', 38), ('space', 38), ('index', 38), ('covid', 37)];[(('education', 'NN'), 119), (('age', 'NN'), 116), (('forensic', 'JJ'), 97), (('history', 'NN'), 89), (('analysis', 'NN'), 84), (('social', 'JJ'), 73), (('model', 'NN'), 68), (('italy', 'NN'), 65), (('estimation', 'NN'), 63), (('policy', 'NN'), 62), (('economic', 'JJ'), 51), (('school', 'NN'), 47), (('management', 'NN'), 45), (('centuries', 'NNS'), 44), (('financial', 'JJ'), 43), (('italy', 'JJ'), 43), (('science', 'NN'), 43), (('century', 'NN'), 42), (('growth', 'NN'), 41), (('dynamics', 'NNS'), 40), (('data', 'NNS'), 36), (('public', 'JJ'), 35), (('risk', 'NN'), 35), (('innovation', 'NN'), 34), (('distribution', 'NN'), 33), (('spatial', 'JJ'), 32), (('dental', 'JJ'), 32), (('urban', 'JJ'), 31), (('identity', 'NN'), 31), (('index', 'NN'), 31)]
60027299;[('model', 878), ('analysis', 596), ('system', 571), ('physic', 414), ('scatter', 412), ('hadronhadron', 376), ('network', 357), ('experiment', 335), ('method', 326), ('energy', 300), ('control', 300), ('cm', 247), ('laser', 233), ('optimization', 230), ('optics', 227), ('design', 214), ('structure', 210), ('water', 209), ('process', 209), ('dynamic', 206), ('simulation', 205), ('ray', 203), ('test', 192), ('detector', 183), ('theory', 180), ('management', 178), ('nonlinear', 175), ('flow', 174), ('material', 167), ('contact', 163)];[(('analysis', 'NN'), 562), (('model', 'NN'), 432), (('physics', 'NNS'), 413), (('scattering', 'VBG'), 406), (('hadronhadron', 'NN'), 347), (('systems', 'NNS'), 326), (('energy', 'NN'), 300), (('control', 'NN'), 288), (('experiments', 'NNS'), 275), (('system', 'NN'), 245), (('optical', 'JJ'), 227), (('optimization', 'NN'), 222), (('cms', 'NN'), 211), (('design', 'NN'), 204), (('management', 'NN'), 177), (('simulation', 'NN'), 173), (('networks', 'NNS'), 172), (('network', 'NN'), 169), (('method', 'NN'), 161), (('water', 'NN'), 156), (('laser', 'NN'), 156), (('methods', 'NNS'), 151), (('power', 'NN'), 146), (('contact', 'NN'), 137), (('galaxies', 'NNS'), 137), (('theory', 'NN'), 135), (('performance', 'NN'), 134), (('finite', 'JJ'), 134), (('data', 'NNS'), 133), (('general', 'JJ'), 128)]
60027509;[('cell', 1921), ('disease', 1659), ('model', 1466), ('analysis', 1401), ('system', 1388), ('galaxy', 1254), ('method', 803), ('cancer', 799), ('network', 711), ('theory', 681), ('star', 680), ('general', 652), ('dynamic', 637), ('control', 628), ('scatter', 601), ('therapy', 591), ('structure', 582), ('sun', 581), ('protein', 580), ('energy', 576), ('function', 576), ('cluster', 557), ('surgery', 556), ('experiment', 541), ('process', 539), ('syndrome', 535), ('acid', 529), ('test', 528), ('receptor', 526), ('heart', 524)];[(('analysis', 'NN'), 1350), (('galaxies', 'NNS'), 1042), (('disease', 'NN'), 915), (('cells', 'NNS'), 881), (('systems', 'NNS'), 824), (('cell', 'NN'), 780), (('cancer', 'NN'), 742), (('general', 'JJ'), 635), (('model', 'NN'), 615), (('scattering', 'VBG'), 577), (('control', 'NN'), 576), (('methods', 'NNS'), 572), (('system', 'NN'), 564), (('energy', 'NN'), 555), (('stars', 'NNS'), 555), (('therapy', 'NN'), 537), (('physics', 'NNS'), 520), (('theory', 'NN'), 500), (('human', 'JJ'), 484), (('disease', 'VBP'), 478), (('data', 'NNS'), 453), (('dynamics', 'NNS'), 439), (('surgery', 'NN'), 436), (('growth', 'NN'), 428), (('models', 'NNS'), 425), (('individual', 'JJ'), 425), (('cosmic', 'JJ'), 418), (('molecular', 'JJ'), 409), (('radiation', 'NN'), 409), (('treatment', 'NN'), 404)]
60027791;[('early', 6), ('architecture', 5), ('church', 4), ('christian', 3), ('st', 3), ('catacomb', 3), ('archaeology', 3), ('window', 2), ('reconstruction', 2), ('middle', 2), ('rome', 2), ('tuscany', 2), ('trace', 2), ('element', 2), ('chemistry', 2), ('burial', 2), ('wall', 2), ('adulis', 1), ('british', 1), ('museum', 1), ('christianity', 1), ('islam', 1), ('alfarano', 1), ('old', 1), ('peter', 1), ('apse', 1), ('light', 1), ('ravenna', 1), ('giovanni', 1), ('evangelista', 1)];[(('early', 'JJ'), 5), (('architecture', 'NN'), 4), (('christian', 'JJ'), 3), (('archaeology', 'NN'), 3), (('church', 'NN'), 2), (('reconstruction', 'NN'), 2), (('churches', 'NNS'), 2), (('middle', 'JJ'), 2), (('trace', 'NN'), 2), (('element', 'NN'), 2), (('chemistry', 'NN'), 2), (('wall', 'NN'), 2), (('adulis', 'NNS'), 1), (('british', 'JJ'), 1), (('museum', 'NN'), 1), (('christianity', 'NN'), 1), (('islam', 'NN'), 1), (('alfarano', 'RB'), 1), (('old', 'JJ'), 1), (('st', 'NN'), 1), (('peters', 'NNS'), 1), (('windows', 'VBP'), 1), (('apse', 'NN'), 1), (('lighting', 'VBG'), 1), (('ravenna', 'NN'), 1), (('giovanni', 'NN'), 1), (('evangelista', 'NN'), 1), (('windows', 'VBZ'), 1), (('central', 'JJ'), 1), (('italy', 'NN'), 1)]
60028218;[('galaxy', 6090), ('model', 3760), ('analysis', 3245), ('cell', 2718), ('system', 2524), ('disease', 2275), ('method', 1772), ('acid', 1698), ('cluster', 1608), ('cancer', 1550), ('structure', 1494), ('general', 1235), ('spectroscopy', 1211), ('network', 1155), ('test', 1134), ('dynamic', 1111), ('syndrome', 1107), ('process', 1088), ('theory', 1074), ('disorder', 1074), ('therapy', 1061), ('energy', 1054), ('scatter', 1047), ('control', 1045), ('function', 1043), ('risk', 1040), ('data', 1034), ('molecule', 1029), ('star', 1018), ('individual', 1011)];[(('galaxies', 'NNS'), 5604), (('analysis', 'NN'), 3078), (('model', 'NN'), 1646), (('disease', 'NN'), 1502), (('cancer', 'NN'), 1432), (('cell', 'NN'), 1343), (('system', 'NN'), 1279), (('systems', 'NNS'), 1245), (('general', 'JJ'), 1230), (('clusters', 'NNS'), 1157), (('methods', 'NNS'), 1057), (('energy', 'NN'), 1044), (('cells', 'NNS'), 1034), (('scattering', 'VBG'), 1001), (('therapy', 'NN'), 985), (('data', 'NNS'), 983), (('physics', 'NNS'), 963), (('structure', 'NN'), 960), (('risk', 'NN'), 950), (('individual', 'JJ'), 937), (('control', 'NN'), 889), (('acid', 'NN'), 888), (('quality', 'NN'), 882), (('active', 'JJ'), 867), (('human', 'JJ'), 860), (('management', 'NN'), 859), (('health', 'NN'), 837), (('spectroscopy', 'NN'), 832), (('molecular', 'JJ'), 831), (('models', 'NNS'), 830)]
