;Ikeywords_lemma;Ikeywords_pos
60024690;[('human', 25913), ('cell', 20155), ('study', 17821), ('article', 14857), ('drug', 13845), ('protein', 11888), ('age', 11710), ('female', 10591), ('male', 10521), ('animal', 9288), ('disease', 8491), ('adult', 8377), ('control', 7959), ('receptor', 7929), ('analysis', 7646), ('clinic', 7465), ('journal', 6444), ('priority', 6442), ('gene', 6439), ('acid', 6106), ('factor', 6004), ('agent', 4918), ('middle', 4456), ('model', 4323), ('blood', 4128), ('system', 3913), ('derivative', 3832), ('italy', 3772), ('tumor', 3435), ('structure', 3434)];[(('human', 'JJ'), 16359), (('cell', 'NN'), 15843), (('article', 'NN'), 14857), (('drug', 'NN'), 13809), (('study', 'NN'), 13697), (('adult', 'NN'), 8129), (('protein', 'NN'), 8036), (('female', 'JJ'), 7848), (('analysis', 'NN'), 7479), (('clinical', 'JJ'), 7447), (('humans', 'NNS'), 7363), (('disease', 'NN'), 7186), (('receptor', 'NN'), 6397), (('priority', 'NN'), 6341), (('gene', 'NN'), 6162), (('journal', 'NN'), 6083), (('male', 'JJ'), 5523), (('controlled', 'VBD'), 5208), (('aged', 'VBN'), 4946), (('male', 'NN'), 4810), (('aged', 'VBD'), 4768), (('animal', 'JJ'), 4245), (('factor', 'NN'), 4203), (('acid', 'NN'), 3827), (('blood', 'NN'), 3773), (('derivative', 'JJ'), 3662), (('cancer', 'NN'), 3223), (('tumor', 'NN'), 3173), (('expression', 'NN'), 3113), (('major', 'JJ'), 3081)]
60025153;[('human', 46422), ('study', 33417), ('cell', 31842), ('article', 26299), ('age', 22843), ('female', 20899), ('male', 20620), ('protein', 19987), ('drug', 19931), ('disease', 17988), ('adult', 17380), ('clinic', 17316), ('control', 15042), ('analysis', 13712), ('animal', 13342), ('journal', 11642), ('priority', 11639), ('system', 10657), ('middle', 9175), ('acid', 8402), ('factor', 8386), ('gene', 8226), ('receptor', 8074), ('agent', 7970), ('model', 7959), ('child', 7482), ('cancer', 7271), ('blood', 6998), ('image', 6824), ('major', 6501)];[(('human', 'JJ'), 29826), (('article', 'NN'), 26296), (('study', 'NN'), 25755), (('cell', 'NN'), 24723), (('drug', 'NN'), 19880), (('clinical', 'JJ'), 17276), (('adult', 'NN'), 16837), (('female', 'JJ'), 15386), (('disease', 'NN'), 14934), (('analysis', 'NN'), 13417), (('protein', 'NN'), 13395), (('humans', 'NNS'), 13283), (('priority', 'NN'), 11498), (('journal', 'NN'), 10952), (('male', 'JJ'), 10448), (('male', 'NN'), 9728), (('aged', 'VBN'), 9447), (('aged', 'VBD'), 9353), (('controlled', 'VBD'), 8894), (('gene', 'NN'), 7914), (('cancer', 'NN'), 7125), (('system', 'NN'), 6870), (('major', 'JJ'), 6501), (('blood', 'NN'), 6448), (('receptor', 'NN'), 6335), (('animal', 'JJ'), 6061), (('treatment', 'NN'), 5557), (('child', 'NN'), 5404), (('acid', 'NN'), 5397), (('tumor', 'NN'), 5391)]
60025965;[('human', 11897), ('study', 9961), ('article', 7391), ('cell', 7292), ('age', 7255), ('protein', 6425), ('female', 6127), ('male', 5649), ('adult', 5498), ('control', 4854), ('analysis', 4575), ('clinic', 4461), ('disease', 4191), ('drug', 4071), ('animal', 3027), ('journal', 3018), ('factor', 3018), ('priority', 3006), ('gene', 2952), ('middle', 2945), ('cancer', 2742), ('model', 2654), ('system', 2462), ('acid', 2342), ('italy', 2249), ('agent', 2154), ('blood', 2109), ('image', 2042), ('tumor', 1859), ('treatment', 1858)];[(('study', 'NN'), 7407), (('article', 'NN'), 7388), (('human', 'JJ'), 7206), (('cell', 'NN'), 5818), (('adult', 'NN'), 5280), (('analysis', 'NN'), 4463), (('female', 'JJ'), 4454), (('clinical', 'JJ'), 4454), (('protein', 'NN'), 4084), (('drug', 'NN'), 4061), (('humans', 'NNS'), 4018), (('disease', 'NN'), 3487), (('aged', 'VBN'), 3194), (('aged', 'VBD'), 2995), (('priority', 'NN'), 2952), (('male', 'JJ'), 2906), (('journal', 'NN'), 2850), (('gene', 'NN'), 2742), (('cancer', 'NN'), 2711), (('controlled', 'VBD'), 2604), (('male', 'NN'), 2602), (('factor', 'NN'), 2022), (('blood', 'NN'), 1954), (('studies', 'NNS'), 1899), (('treatment', 'NN'), 1828), (('tumor', 'NN'), 1726), (('major', 'JJ'), 1710), (('dna', 'NN'), 1529), (('female', 'NN'), 1501), (('sequence', 'NN'), 1474)]
60026298;[('drug', 6365), ('animal', 6253), ('cell', 5603), ('article', 4137), ('protein', 4063), ('human', 3790), ('study', 3661), ('receptor', 3573), ('acid', 2689), ('control', 2564), ('structure', 2442), ('nonhuman', 2380), ('male', 2336), ('rat', 2273), ('analysis', 2271), ('derivative', 2142), ('agent', 1889), ('model', 1846), ('female', 1756), ('priority', 1695), ('journal', 1694), ('molecule', 1643), ('gene', 1627), ('activity', 1599), ('bind', 1427), ('system', 1417), ('dna', 1398), ('disease', 1363), ('experiment', 1337), ('compound', 1273)];[(('drug', 'NN'), 6343), (('cell', 'NN'), 4377), (('article', 'NN'), 4136), (('animal', 'JJ'), 3036), (('receptor', 'NN'), 2951), (('study', 'NN'), 2882), (('protein', 'NN'), 2674), (('human', 'JJ'), 2239), (('analysis', 'NN'), 2190), (('nonhuman', 'JJ'), 2142), (('derivative', 'JJ'), 2033), (('structure', 'NN'), 1886), (('priority', 'NN'), 1667), (('journal', 'NN'), 1622), (('controlled', 'VBD'), 1587), (('animal', 'NN'), 1584), (('acid', 'NN'), 1570), (('animals', 'NNS'), 1542), (('gene', 'NN'), 1521), (('activity', 'NN'), 1501), (('molecular', 'JJ'), 1491), (('female', 'JJ'), 1380), (('binding', 'VBG'), 1373), (('male', 'JJ'), 1216), (('unclassified', 'JJ'), 1182), (('dna', 'NN'), 1154), (('sequence', 'NN'), 1137), (('tissue', 'NN'), 1120), (('humans', 'NNS'), 1110), (('male', 'NN'), 1100)]
60026777;[('human', 31424), ('study', 25783), ('cell', 19006), ('article', 17914), ('age', 17529), ('protein', 16559), ('male', 16234), ('female', 16011), ('disease', 14071), ('adult', 13878), ('clinic', 12953), ('drug', 12439), ('control', 10630), ('analysis', 8425), ('middle', 7511), ('factor', 7395), ('animal', 7241), ('heart', 7179), ('priority', 7009), ('journal', 7008), ('gene', 6986), ('agent', 6563), ('cancer', 6147), ('blood', 5871), ('acid', 5765), ('receptor', 5323), ('child', 5141), ('treatment', 5043), ('tumor', 4762), ('major', 4682)];[(('study', 'NN'), 19332), (('human', 'JJ'), 18725), (('article', 'NN'), 17913), (('cell', 'NN'), 15285), (('adult', 'NN'), 13417), (('clinical', 'JJ'), 12918), (('drug', 'NN'), 12406), (('disease', 'NN'), 11920), (('female', 'JJ'), 11595), (('protein', 'NN'), 11124), (('humans', 'NNS'), 10698), (('male', 'JJ'), 8718), (('analysis', 'NN'), 8284), (('aged', 'VBN'), 7973), (('aged', 'VBD'), 7297), (('male', 'NN'), 7143), (('priority', 'NN'), 6934), (('gene', 'NN'), 6772), (('controlled', 'VBD'), 6669), (('journal', 'NN'), 6628), (('heart', 'NN'), 6338), (('cancer', 'NN'), 5999), (('blood', 'NN'), 5413), (('factor', 'NN'), 5110), (('treatment', 'NN'), 5013), (('studies', 'NNS'), 4700), (('major', 'JJ'), 4682), (('receptor', 'NN'), 4518), (('tumor', 'NN'), 4424), (('female', 'NN'), 3958)]
60027141;[('human', 454), ('age', 379), ('adult', 278), ('male', 263), ('female', 248), ('study', 228), ('analysis', 227), ('article', 187), ('adolescent', 185), ('italy', 173), ('model', 150), ('child', 146), ('tooth', 146), ('determination', 139), ('radiography', 135), ('drug', 130), ('development', 129), ('economy', 119), ('forensic', 114), ('young', 114), ('health', 110), ('control', 107), ('system', 105), ('molar', 98), ('panoramic', 93), ('image', 92), ('policy', 91), ('growth', 87), ('cell', 84), ('population', 71)];[(('human', 'JJ'), 284), (('adult', 'NN'), 271), (('age', 'NN'), 230), (('analysis', 'NN'), 223), (('female', 'JJ'), 193), (('article', 'NN'), 187), (('study', 'NN'), 169), (('male', 'JJ'), 155), (('humans', 'NNS'), 150), (('determination', 'NN'), 139), (('development', 'NN'), 129), (('drug', 'NN'), 127), (('radiography', 'NN'), 119), (('forensic', 'JJ'), 114), (('young', 'JJ'), 114), (('health', 'NN'), 110), (('economic', 'JJ'), 96), (('male', 'NN'), 95), (('molar', 'JJ'), 95), (('adolescent', 'JJ'), 93), (('adolescent', 'NN'), 92), (('panoramic', 'JJ'), 89), (('policy', 'NN'), 88), (('child', 'NN'), 87), (('growth', 'NN'), 81), (('italy', 'NN'), 70), (('model', 'NN'), 70), (('population', 'NN'), 68), (('italy', 'JJ'), 67), (('management', 'NN'), 67)]
60027299;[('analysis', 2239), ('model', 2211), ('system', 2152), ('method', 1375), ('control', 1265), ('energy', 1217), ('water', 1123), ('flow', 1081), ('structure', 1032), ('network', 999), ('process', 931), ('computer', 899), ('simulation', 857), ('optics', 840), ('material', 789), ('algorithm', 763), ('optimization', 762), ('laser', 750), ('design', 739), ('electric', 734), ('power', 690), ('surface', 661), ('numerical', 653), ('measurement', 649), ('dynamic', 645), ('parameter', 634), ('time', 625), ('image', 623), ('test', 590), ('data', 564)];[(('analysis', 'NN'), 2180), (('systems', 'NNS'), 1563), (('energy', 'NN'), 1118), (('control', 'NN'), 1060), (('water', 'NN'), 917), (('models', 'NNS'), 892), (('computer', 'NN'), 880), (('optical', 'JJ'), 839), (('model', 'NN'), 760), (('electric', 'JJ'), 729), (('simulation', 'NN'), 721), (('power', 'NN'), 687), (('method', 'NN'), 679), (('numerical', 'JJ'), 653), (('flow', 'NN'), 637), (('materials', 'NNS'), 619), (('optimization', 'NN'), 618), (('design', 'NN'), 607), (('system', 'NN'), 589), (('methods', 'NNS'), 586), (('time', 'NN'), 578), (('networks', 'NNS'), 525), (('data', 'NNS'), 521), (('mechanical', 'JJ'), 500), (('article', 'NN'), 497), (('mathematical', 'JJ'), 475), (('performance', 'NN'), 460), (('structural', 'JJ'), 440), (('process', 'NN'), 439), (('management', 'NN'), 438)]
60027509;[('human', 43025), ('cell', 31085), ('study', 29343), ('protein', 27572), ('article', 24087), ('age', 20463), ('male', 19311), ('female', 18860), ('adult', 16162), ('disease', 15192), ('drug', 14475), ('control', 14328), ('clinic', 13527), ('analysis', 12007), ('animal', 12007), ('journal', 11096), ('priority', 11090), ('gene', 9300), ('factor', 9113), ('middle', 8405), ('acid', 8293), ('model', 7468), ('virus', 7318), ('system', 7089), ('agent', 6753), ('receptor', 6684), ('blood', 6253), ('treatment', 5736), ('mouse', 5736), ('dna', 5615)];[(('human', 'JJ'), 27045), (('article', 'NN'), 24085), (('cell', 'NN'), 24038), (('study', 'NN'), 22286), (('protein', 'NN'), 18403), (('adult', 'NN'), 15546), (('drug', 'NN'), 14433), (('female', 'JJ'), 13859), (('clinical', 'JJ'), 13487), (('disease', 'NN'), 13072), (('humans', 'NNS'), 12990), (('analysis', 'NN'), 11766), (('priority', 'NN'), 10915), (('journal', 'NN'), 10435), (('male', 'JJ'), 10319), (('aged', 'VBN'), 8966), (('gene', 'NN'), 8960), (('controlled', 'VBD'), 8709), (('male', 'NN'), 8593), (('aged', 'VBD'), 8407), (('factor', 'NN'), 6293), (('blood', 'NN'), 5774), (('virus', 'NN'), 5713), (('treatment', 'NN'), 5661), (('receptor', 'NN'), 5403), (('cancer', 'NN'), 5278), (('animal', 'JJ'), 5215), (('studies', 'NNS'), 4942), (('tumor', 'NN'), 4896), (('major', 'JJ'), 4830)]
60027791;[('suspension', 2), ('application', 1), ('method', 1), ('archeology', 1), ('artefact', 1), ('deteriorate', 1), ('structure', 1), ('microclimatic', 1), ('condition', 1), ('porosity', 1), ('variation', 1), ('concentration', 1), ('unsolved', 1), ('problem', 1), ('calcium', 1), ('carbonate', 1), ('fluid', 1)];[(('application', 'NN'), 1), (('method', 'NN'), 1), (('archaeological', 'JJ'), 1), (('artefacts', 'NNS'), 1), (('deteriorated', 'VBN'), 1), (('structures', 'NNS'), 1), (('microclimatic', 'JJ'), 1), (('conditions', 'NNS'), 1), (('porosity', 'NN'), 1), (('variations', 'NNS'), 1), (('suspension', 'NN'), 1), (('concentrations', 'NNS'), 1), (('unsolved', 'VBD'), 1), (('problems', 'NNS'), 1), (('calcium', 'JJ'), 1), (('carbonate', 'JJ'), 1), (('suspensions', 'NNS'), 1), (('fluids', 'NNS'), 1)]
60028218;[('human', 72911), ('study', 55157), ('article', 45265), ('cell', 43867), ('age', 40251), ('female', 36078), ('male', 35505), ('drug', 33038), ('protein', 30642), ('adult', 30378), ('disease', 27966), ('analysis', 26723), ('clinic', 26581), ('control', 24202), ('animal', 23034), ('priority', 18366), ('journal', 18358), ('acid', 17066), ('gene', 15939), ('middle', 15639), ('system', 15028), ('factor', 14840), ('model', 14609), ('agent', 13656), ('cancer', 12704), ('blood', 12586), ('heart', 10828), ('treatment', 10744), ('italy', 10602), ('major', 10463)];[(('human', 'JJ'), 46277), (('article', 'NN'), 45263), (('study', 'NN'), 41809), (('cell', 'NN'), 34591), (('drug', 'NN'), 32935), (('adult', 'NN'), 29431), (('female', 'JJ'), 26987), (('clinical', 'JJ'), 26451), (('analysis', 'NN'), 25989), (('disease', 'NN'), 22482), (('humans', 'NNS'), 22100), (('protein', 'NN'), 20030), (('male', 'JJ'), 18127), (('priority', 'NN'), 18083), (('journal', 'NN'), 17204), (('aged', 'VBN'), 16693), (('male', 'NN'), 16646), (('aged', 'VBD'), 16291), (('gene', 'NN'), 15266), (('controlled', 'VBD'), 14657), (('cancer', 'NN'), 12434), (('blood', 'NN'), 11690), (('treatment', 'NN'), 10632), (('animal', 'JJ'), 10598), (('major', 'JJ'), 10463), (('acid', 'NN'), 9776), (('heart', 'NN'), 9589), (('studies', 'NNS'), 9541), (('tumor', 'NN'), 9396), (('system', 'NN'), 9267)]
60028868;[('human', 44263), ('study', 34708), ('article', 29008), ('cell', 26598), ('drug', 24230), ('age', 24127), ('female', 22986), ('male', 22698), ('protein', 18993), ('adult', 18707), ('disease', 18290), ('animal', 18029), ('control', 16998), ('clinic', 16879), ('analysis', 15614), ('journal', 11619), ('priority', 11616), ('system', 11300), ('blood', 10697), ('gene', 9877), ('acid', 9852), ('middle', 9765), ('model', 9509), ('agent', 9075), ('factor', 8768), ('receptor', 8459), ('cancer', 8145), ('heart', 7040), ('structure', 6700), ('nonhuman', 6467)];[(('article', 'NN'), 29008), (('human', 'JJ'), 27996), (('study', 'NN'), 26440), (('drug', 'NN'), 24171), (('cell', 'NN'), 20655), (('adult', 'NN'), 18095), (('female', 'JJ'), 17194), (('clinical', 'JJ'), 16801), (('analysis', 'NN'), 15198), (('disease', 'NN'), 14652), (('humans', 'NNS'), 13521), (('protein', 'NN'), 12598), (('male', 'JJ'), 11843), (('priority', 'NN'), 11427), (('journal', 'NN'), 10916), (('male', 'NN'), 10444), (('controlled', 'VBD'), 10093), (('aged', 'VBN'), 10064), (('blood', 'NN'), 9893), (('aged', 'VBD'), 9722), (('gene', 'NN'), 9414), (('animal', 'JJ'), 8621), (('cancer', 'NN'), 7952), (('receptor', 'NN'), 6895), (('heart', 'NN'), 6556), (('system', 'NN'), 6517), (('major', 'JJ'), 6453), (('tissue', 'NN'), 6112), (('derivative', 'JJ'), 5993), (('acid', 'NN'), 5960)]
60030318;[('human', 121554), ('study', 92669), ('cell', 72091), ('article', 70851), ('age', 64984), ('protein', 61195), ('female', 60078), ('male', 58768), ('drug', 51968), ('adult', 49480), ('disease', 47325), ('clinic', 44451), ('animal', 43219), ('control', 37914), ('priority', 31338), ('journal', 31338), ('analysis', 30455), ('factor', 29113), ('blood', 28143), ('gene', 27948), ('middle', 26151), ('acid', 24750), ('cancer', 23213), ('agent', 20682), ('receptor', 20198), ('system', 18312), ('heart', 17910), ('major', 17469), ('risk', 16946), ('model', 16005)];[(('human', 'JJ'), 78166), (('article', 'NN'), 70849), (('study', 'NN'), 70391), (('cell', 'NN'), 56842), (('drug', 'NN'), 51834), (('adult', 'NN'), 47849), (('female', 'JJ'), 44746), (('clinical', 'JJ'), 44348), (('protein', 'NN'), 40443), (('disease', 'NN'), 38439), (('humans', 'NNS'), 35493), (('priority', 'NN'), 30904), (('male', 'JJ'), 29936), (('analysis', 'NN'), 29754), (('journal', 'NN'), 29556), (('male', 'NN'), 27413), (('aged', 'VBN'), 26794), (('gene', 'NN'), 26760), (('aged', 'VBD'), 26231), (('blood', 'NN'), 26070), (('controlled', 'VBD'), 24912), (('cancer', 'NN'), 22845), (('animal', 'JJ'), 20243), (('factor', 'NN'), 18886), (('major', 'JJ'), 17469), (('heart', 'NN'), 16179), (('receptor', 'NN'), 16062), (('studies', 'NNS'), 15925), (('system', 'NN'), 15452), (('risk', 'NN'), 14884)]
60030674;[('cell', 2922), ('protein', 2634), ('quantum', 2154), ('animal', 1716), ('model', 1531), ('article', 1501), ('molecule', 1399), ('energy', 1301), ('human', 1281), ('analysis', 1183), ('theory', 1177), ('system', 1019), ('electron', 931), ('structure', 913), ('study', 909), ('galaxy', 884), ('spectroscopy', 806), ('control', 805), ('gene', 782), ('mouse', 778), ('method', 771), ('particle', 757), ('compound', 747), ('dynamic', 709), ('nerve', 694), ('factor', 685), ('state', 671), ('physic', 669), ('effect', 640), ('drug', 637)];[(('cell', 'NN'), 2173), (('protein', 'NN'), 1683), (('article', 'NN'), 1501), (('analysis', 'NN'), 1137), (('molecular', 'JJ'), 1134), (('energy', 'NN'), 1127), (('quantum', 'NN'), 1046), (('theory', 'NN'), 882), (('human', 'JJ'), 825), (('model', 'NN'), 770), (('study', 'NN'), 757), (('gene', 'NN'), 747), (('animal', 'JJ'), 725), (('structure', 'NN'), 675), (('physics', 'NNS'), 662), (('dynamics', 'NNS'), 660), (('quantum', 'VBP'), 650), (('drug', 'NN'), 636), (('systems', 'NNS'), 611), (('models', 'NNS'), 609), (('nerve', 'NN'), 597), (('galaxies', 'NNS'), 587), (('state', 'NN'), 542), (('optical', 'JJ'), 515), (('factor', 'NN'), 511), (('methods', 'NNS'), 508), (('high', 'JJ'), 506), (('chemistry', 'NN'), 504), (('spectroscopy', 'NN'), 497), (('animals', 'NNS'), 495)]
60031624;[('human', 20310), ('study', 15874), ('age', 12491), ('cell', 12164), ('article', 12006), ('male', 10137), ('female', 9662), ('protein', 8971), ('adult', 8335), ('clinic', 7829), ('disease', 7584), ('drug', 7406), ('control', 7231), ('analysis', 6976), ('animal', 5914), ('journal', 5141), ('priority', 5139), ('middle', 4895), ('factor', 4528), ('cancer', 4516), ('gene', 4171), ('acid', 4027), ('system', 3856), ('agent', 3593), ('blood', 3495), ('model', 3465), ('tissue', 3463), ('tumor', 3399), ('treatment', 3262), ('neoplasm', 3189)];[(('human', 'JJ'), 12921), (('study', 'NN'), 12101), (('article', 'NN'), 12006), (('cell', 'NN'), 9775), (('adult', 'NN'), 8049), (('clinical', 'JJ'), 7823), (('drug', 'NN'), 7361), (('female', 'JJ'), 7035), (('analysis', 'NN'), 6803), (('disease', 'NN'), 6372), (('humans', 'NNS'), 6191), (('protein', 'NN'), 6038), (('aged', 'VBN'), 5415), (('male', 'JJ'), 5212), (('priority', 'NN'), 5074), (('aged', 'VBD'), 5046), (('journal', 'NN'), 4874), (('male', 'NN'), 4697), (('cancer', 'NN'), 4452), (('controlled', 'VBD'), 4202), (('gene', 'NN'), 3980), (('tissue', 'NN'), 3360), (('blood', 'NN'), 3222), (('treatment', 'NN'), 3217), (('factor', 'NN'), 3123), (('tumor', 'NN'), 3112), (('animal', 'JJ'), 2750), (('major', 'JJ'), 2698), (('studies', 'NNS'), 2695), (('acid', 'NN'), 2398)]
60031984;[('human', 52017), ('study', 40225), ('age', 33176), ('female', 28029), ('article', 27999), ('male', 24829), ('adult', 23144), ('clinic', 22675), ('disease', 21423), ('cell', 17912), ('drug', 17151), ('protein', 15792), ('control', 13436), ('middle', 13239), ('cancer', 13104), ('priority', 11949), ('journal', 11944), ('analysis', 9832), ('factor', 9793), ('blood', 9559), ('agent', 8871), ('treatment', 8360), ('heart', 8216), ('major', 8193), ('tumor', 8110), ('neoplasm', 8065), ('gene', 7489), ('outcome', 7376), ('child', 7082), ('animal', 7025)];[(('human', 'JJ'), 32791), (('study', 'NN'), 29800), (('article', 'NN'), 27999), (('clinical', 'JJ'), 22642), (('adult', 'NN'), 22398), (('female', 'JJ'), 20427), (('disease', 'NN'), 18021), (('drug', 'NN'), 17073), (('humans', 'NNS'), 16564), (('aged', 'VBN'), 14741), (('cell', 'NN'), 14622), (('aged', 'VBD'), 13822), (('cancer', 'NN'), 12986), (('male', 'JJ'), 12704), (('priority', 'NN'), 11807), (('male', 'NN'), 11479), (('journal', 'NN'), 11277), (('protein', 'NN'), 10862), (('analysis', 'NN'), 9663), (('controlled', 'VBD'), 8976), (('blood', 'NN'), 8843), (('treatment', 'NN'), 8334), (('major', 'JJ'), 8193), (('studies', 'NNS'), 8127), (('tumor', 'NN'), 7460), (('heart', 'NN'), 7439), (('gene', 'NN'), 7275), (('therapy', 'NN'), 6752), (('female', 'NN'), 6717), (('factor', 'NN'), 6134)]
60032111;[('cell', 5556), ('human', 4342), ('article', 3187), ('drug', 3133), ('protein', 2860), ('study', 2689), ('animal', 2591), ('acid', 1770), ('analysis', 1766), ('control', 1746), ('male', 1360), ('dna', 1328), ('journal', 1303), ('priority', 1302), ('derivative', 1257), ('gene', 1191), ('receptor', 1190), ('female', 1187), ('age', 1169), ('nonhuman', 1149), ('model', 1016), ('italy', 1004), ('adult', 994), ('rat', 987), ('agent', 978), ('activity', 941), ('enzyme', 905), ('structure', 887), ('system', 883), ('reaction', 874)];[(('cell', 'NN'), 4412), (('article', 'NN'), 3187), (('drug', 'NN'), 3125), (('human', 'JJ'), 2690), (('study', 'NN'), 2196), (('protein', 'NN'), 1859), (('analysis', 'NN'), 1690), (('priority', 'NN'), 1281), (('journal', 'NN'), 1220), (('controlled', 'VBD'), 1212), (('derivative', 'JJ'), 1196), (('humans', 'NNS'), 1158), (('gene', 'NN'), 1139), (('animal', 'JJ'), 1124), (('dna', 'NN'), 1083), (('acid', 'NN'), 1081), (('nonhuman', 'JJ'), 1020), (('receptor', 'NN'), 963), (('adult', 'NN'), 962), (('activity', 'NN'), 903), (('female', 'JJ'), 880), (('reaction', 'NN'), 794), (('animal', 'NN'), 752), (('water', 'NN'), 745), (('male', 'JJ'), 732), (('structure', 'NN'), 721), (('metabolism', 'NN'), 714), (('expression', 'NN'), 702), (('clinical', 'JJ'), 683), (('animals', 'NNS'), 680)]
60032256;[('human', 35732), ('study', 26329), ('age', 21141), ('article', 18951), ('male', 17897), ('female', 17516), ('protein', 16386), ('adult', 15903), ('cell', 15830), ('disease', 13457), ('clinic', 13425), ('drug', 10337), ('control', 10243), ('middle', 8723), ('analysis', 8608), ('priority', 8335), ('journal', 8330), ('gene', 7521), ('factor', 7498), ('blood', 6820), ('cancer', 6594), ('animal', 5691), ('tumor', 5477), ('agent', 5457), ('major', 5051), ('acid', 5050), ('risk', 4729), ('heart', 4693), ('treatment', 4689), ('child', 4603)];[(('human', 'JJ'), 22258), (('study', 'NN'), 19704), (('article', 'NN'), 18951), (('adult', 'NN'), 15404), (('clinical', 'JJ'), 13396), (('cell', 'NN'), 12751), (('female', 'JJ'), 12739), (('disease', 'NN'), 11442), (('humans', 'NNS'), 11435), (('protein', 'NN'), 10963), (('drug', 'NN'), 10248), (('male', 'JJ'), 9573), (('aged', 'VBN'), 9414), (('aged', 'VBD'), 8797), (('analysis', 'NN'), 8434), (('priority', 'NN'), 8226), (('male', 'NN'), 7892), (('journal', 'NN'), 7826), (('gene', 'NN'), 7168), (('controlled', 'VBD'), 6677), (('cancer', 'NN'), 6496), (('blood', 'NN'), 6294), (('studies', 'NNS'), 5062), (('major', 'JJ'), 5051), (('tumor', 'NN'), 4864), (('factor', 'NN'), 4779), (('treatment', 'NN'), 4670), (('female', 'NN'), 4293), (('heart', 'NN'), 4200), (('risk', 'NN'), 4053)]
60032259;[('human', 19328), ('study', 15444), ('drug', 13518), ('article', 12513), ('male', 11256), ('age', 10281), ('cell', 10032), ('female', 9678), ('animal', 9404), ('adult', 8175), ('protein', 7513), ('control', 7345), ('disease', 7291), ('clinic', 6718), ('analysis', 6522), ('acid', 6289), ('rat', 5911), ('receptor', 5792), ('priority', 5310), ('journal', 5303), ('agent', 5132), ('system', 5130), ('middle', 4143), ('model', 4092), ('italy', 3963), ('gene', 3913), ('factor', 3909), ('nonhuman', 3437), ('derivative', 3391), ('structure', 3219)];[(('drug', 'NN'), 13448), (('article', 'NN'), 12513), (('human', 'JJ'), 12376), (('study', 'NN'), 11710), (('adult', 'NN'), 7887), (('cell', 'NN'), 7785), (('female', 'JJ'), 7173), (('clinical', 'JJ'), 6680), (('analysis', 'NN'), 6383), (('disease', 'NN'), 6077), (('male', 'JJ'), 5901), (('humans', 'NNS'), 5793), (('priority', 'NN'), 5201), (('male', 'NN'), 5164), (('journal', 'NN'), 4989), (('protein', 'NN'), 4869), (('animal', 'JJ'), 4858), (('controlled', 'VBD'), 4515), (('receptor', 'NN'), 4351), (('aged', 'VBN'), 4207), (('acid', 'NN'), 4181), (('aged', 'VBD'), 4049), (('gene', 'NN'), 3801), (('system', 'NN'), 3435), (('derivative', 'JJ'), 3236), (('nonhuman', 'JJ'), 3097), (('blood', 'NN'), 3007), (('major', 'JJ'), 2964), (('activity', 'NN'), 2631), (('agent', 'NN'), 2619)]
60032350;[('human', 125872), ('study', 87880), ('article', 73650), ('cell', 67061), ('age', 66845), ('male', 61933), ('female', 60605), ('protein', 55816), ('adult', 52639), ('drug', 47187), ('disease', 44759), ('clinic', 44584), ('control', 37056), ('analysis', 34436), ('animal', 30983), ('priority', 29687), ('journal', 29676), ('middle', 28118), ('factor', 25521), ('system', 23544), ('gene', 22405), ('cancer', 21529), ('acid', 21377), ('blood', 21222), ('agent', 20020), ('model', 19898), ('child', 17641), ('major', 16878), ('receptor', 16662), ('treatment', 16523)];[(('human', 'JJ'), 80555), (('article', 'NN'), 73647), (('study', 'NN'), 66856), (('cell', 'NN'), 53336), (('adult', 'NN'), 50955), (('drug', 'NN'), 46963), (('female', 'JJ'), 45178), (('clinical', 'JJ'), 44434), (('humans', 'NNS'), 37634), (('disease', 'NN'), 37046), (('protein', 'NN'), 36493), (('analysis', 'NN'), 33546), (('male', 'JJ'), 31909), (('priority', 'NN'), 29257), (('aged', 'VBN'), 28798), (('male', 'NN'), 28765), (('journal', 'NN'), 27933), (('aged', 'VBD'), 27782), (('controlled', 'VBD'), 22901), (('gene', 'NN'), 21255), (('cancer', 'NN'), 21200), (('blood', 'NN'), 19684), (('major', 'JJ'), 16878), (('treatment', 'NN'), 16384), (('factor', 'NN'), 16379), (('system', 'NN'), 16183), (('studies', 'NNS'), 15167), (('tumor', 'NN'), 14915), (('animal', 'JJ'), 14425), (('female', 'NN'), 13982)]
